Word 1,Word 2,Human (mean),sp_similarity
love,sex,6.77,39.0
tiger,cat,7.35,39.0
tiger,tiger,10.0,40.0
book,paper,7.46,38.0
computer,keyboard,7.62,37.0
computer,internet,7.58,33.0
plane,car,5.77,34.0
train,car,6.31,35.0
telephone,communication,7.5,30.0
television,radio,6.77,38.0
media,radio,7.42,37.0
drug,abuse,6.85,31.0
bread,butter,6.19,38.0
cucumber,potato,5.92,37.0
doctor,nurse,7.0,38.0
professor,doctor,6.62,34.0
student,professor,6.81,33.0
smart,student,4.62,27.0
smart,stupid,5.81,27.0
company,stock,7.08,35.0
stock,market,8.08,34.0
stock,phone,1.62,34.0
stock,CD,1.31,35.0
stock,jaguar,0.92,35.0
stock,egg,1.81,34.0
fertility,egg,6.69,29.0
stock,live,3.73,35.0
stock,life,0.92,35.0
book,library,7.46,38.0
bank,money,8.12,34.0
wood,forest,7.73,40.0
money,cash,9.15,38.0
professor,cucumber,0.31,28.0
king,cabbage,0.23,31.0
king,queen,8.58,40.0
king,rook,5.92,38.0
bishop,rabbi,6.69,36.0
Jerusalem,Israel,8.46,34.0
Jerusalem,Palestinian,7.65,25.0
holy,sex,1.62,31.0
fuck,sex,9.44,38.0
Maradona,football,8.62,0.0
football,soccer,9.03,39.0
football,basketball,6.81,38.0
football,tennis,6.63,35.0
tennis,racket,7.56,32.0
Arafat,peace,6.73,28.0
Arafat,terror,7.65,35.0
Arafat,Jackson,2.5,37.0
law,lawyer,8.38,30.0
movie,star,7.38,33.0
movie,popcorn,6.19,27.0
movie,critic,6.73,30.0
movie,theater,7.92,34.0
physics,proton,8.12,26.0
physics,chemistry,7.35,38.0
space,chemistry,4.88,35.0
alcohol,chemistry,5.54,36.0
vodka,gin,8.46,38.0
vodka,brandy,8.13,38.0
drink,car,3.04,30.0
drink,ear,1.31,33.0
drink,mouth,5.96,34.0
drink,eat,6.87,38.0
baby,mother,7.85,36.0
drink,mother,2.65,35.0
car,automobile,8.94,40.0
gem,jewel,8.96,40.0
journey,voyage,9.29,39.0
boy,lad,8.83,39.0
coast,shore,9.1,39.0
asylum,madhouse,8.87,39.0
magician,wizard,9.02,40.0
midday,noon,9.29,40.0
furnace,stove,8.79,31.0
food,fruit,7.52,31.0
bird,cock,7.1,39.0
bird,crane,7.38,37.0
tool,implement,6.46,39.0
brother,monk,6.27,39.0
crane,implement,2.69,36.0
lad,brother,4.46,36.0
journey,car,5.85,23.0
monk,oracle,5.0,33.0
cemetery,woodland,2.08,32.0
food,rooster,4.42,25.0
coast,hill,4.38,36.0
forest,graveyard,1.85,32.0
shore,woodland,3.08,36.0
monk,slave,0.92,36.0
coast,forest,3.15,35.0
lad,wizard,0.92,36.0
chord,smile,0.54,30.0
glass,magician,2.08,33.0
noon,string,0.54,29.0
rooster,voyage,0.62,17.0
money,dollar,8.42,36.0
money,cash,9.08,38.0
money,currency,9.04,39.0
money,wealth,8.27,39.0
money,property,7.57,38.0
money,possession,7.29,37.0
money,bank,8.5,34.0
money,deposit,7.73,38.0
money,withdrawal,6.88,30.0
money,laundering,5.65,28.0
money,operation,3.31,32.0
tiger,jaguar,8.0,38.0
tiger,feline,8.0,38.0
tiger,carnivore,7.08,37.0
tiger,mammal,6.85,35.0
tiger,animal,7.0,37.0
tiger,organism,4.77,38.0
tiger,fauna,5.62,37.0
tiger,zoo,5.87,33.0
psychology,psychiatry,8.08,34.0
psychology,anxiety,7.0,28.0
psychology,fear,6.85,28.0
psychology,depression,7.42,29.0
psychology,clinic,6.58,27.0
psychology,doctor,6.42,28.0
psychology,Freud,8.21,21.0
psychology,mind,7.69,34.0
psychology,health,7.23,29.0
psychology,science,6.71,39.0
psychology,discipline,5.58,38.0
psychology,cognition,7.48,35.0
planet,star,8.45,38.0
planet,constellation,8.06,37.0
planet,moon,8.08,37.0
planet,sun,8.02,37.0
planet,galaxy,8.11,33.0
planet,space,7.92,34.0
planet,astronomer,7.94,35.0
precedent,example,5.85,39.0
precedent,information,3.85,38.0
precedent,cognition,2.81,37.0
precedent,law,6.65,39.0
precedent,collection,2.5,38.0
precedent,group,1.77,37.0
precedent,antecedent,6.04,35.0
cup,coffee,6.58,35.0
cup,tableware,6.85,38.0
cup,article,2.4,36.0
cup,artifact,2.92,37.0
cup,object,3.69,35.0
cup,entity,2.15,35.0
cup,drink,7.25,36.0
cup,food,5.0,35.0
cup,substance,1.92,34.0
cup,liquid,5.9,35.0
jaguar,cat,7.42,39.0
jaguar,car,7.27,24.0
